date,load_gw,year,month,quarter,weekofyear,sin_week,cos_week,holiday_days,has_holiday,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days,lag_1,lag_2,lag_4,lag_8,lag_52,rolling_mean_4,rolling_mean_8,rolling_std_4,rolling_std_8
2016-05-15 00:00:00+00:00,53.83086309523809,2016,5,2,19,0.7485107481711013,-0.6631226582407951,0,0,15.416666666666666,6.7,23.3,2.583333333333334,0.0,50.6261130952381,54.88391071428571,53.15043452380952,57.62138095238095,49.984785714285714,53.01089583333333,53.96733928571428,1.7657292214872988,1.9881042713576147
2016-05-22 00:00:00+00:00,51.5158630952381,2016,5,2,20,0.6631226582407952,-0.7485107481711012,0,0,14.90892857142857,6.4,27.3,3.0910714285714302,0.0,53.83086309523809,50.6261130952381,53.383125,54.017779761904755,52.28980357142857,53.18100297619048,53.493524553571426,1.8157210280486538,1.338363190201197
2016-05-29 00:00:00+00:00,51.86942857142857,2016,5,2,21,0.5680647467311558,-0.8229838658936564,0,0,17.70595238095238,11.3,26.0,0.2940476190476211,0.0,51.5158630952381,53.83086309523809,54.88391071428571,53.22379166666666,50.47083928571429,52.7141875,53.18078497023809,1.979115906196457,1.4828719791887983
2016-06-05 00:00:00+00:00,53.917023809523805,2016,6,2,22,0.46472317204376906,-0.8854560256532096,0,0,20.467261904761905,13.6,26.5,0.0,0.0,51.86942857142857,51.5158630952381,50.6261130952381,54.83217857142857,50.596398809523805,51.96056696428571,53.01148958333333,1.3521393522696856,1.5529181632005071
2016-06-12 00:00:00+00:00,53.39696428571429,2016,6,2,23,0.35460488704253584,-0.9350162426854147,0,0,18.03988095238095,11.6,25.3,0.0,0.0,53.917023809523805,51.86942857142857,53.83086309523809,53.15043452380952,53.15695238095238,52.78329464285714,52.89709523809524,1.2681055963104846,1.4283496503126436
2016-06-19 00:00:00+00:00,53.58318452380953,2016,6,2,24,0.23931566428755768,-0.970941817426052,0,0,16.45,11.6,22.3,1.5500000000000007,0.0,53.39696428571429,53.917023809523805,51.5158630952381,53.383125,52.58079761904762,52.67481994047619,52.92791145833333,1.1628125578521435,1.4372279976439273
2016-06-26 00:00:00+00:00,53.794452380952386,2016,6,2,25,0.12053668025532308,-0.992708874098054,0,0,21.767857142857142,11.4,32.9,0.0,0.0,53.58318452380953,53.39696428571429,51.86942857142857,54.88391071428571,52.852244047619045,53.19165029761905,52.95291889880953,0.90735695088696,1.4479803997129195
2016-07-03 00:00:00+00:00,53.90750595238095,2016,7,3,26,-3.216245299353273e-16,-1.0,0,0,18.979166666666668,11.8,26.7,0.0,0.0,53.794452380952386,53.58318452380953,53.917023809523805,50.6261130952381,54.222988095238094,53.672906250000004,52.81673660714286,0.22989910875668143,1.282164182895038
2016-07-10 00:00:00+00:00,53.99964285714286,2016,7,3,27,-0.12053668025532283,-0.992708874098054,0,0,18.73452380952381,11.4,29.6,0.0,0.0,53.90750595238095,53.794452380952386,53.39696428571429,53.83086309523809,53.87792857142857,53.67052678571429,53.226910714285715,0.22655521086449992,0.967516626031374
2016-07-17 00:00:00+00:00,53.4520119047619,2016,7,3,28,-0.23931566428755743,-0.9709418174260521,0,0,19.316071428571423,10.1,28.6,0.0,0.0,53.99964285714286,53.90750595238095,53.58318452380953,51.5158630952381,53.722517857142854,53.82119642857143,53.24800818452381,0.1794968640962604,0.9842629302951894
2016-07-24 00:00:00+00:00,53.62673809523809,2016,7,3,29,-0.3546048870425356,-0.9350162426854148,0,0,21.70952380952381,14.1,28.7,0.0,0.0,53.4520119047619,53.99964285714286,53.794452380952386,51.86942857142857,53.660047619047624,53.78840327380952,53.490026785714285,0.23944613484475824,0.6922139938146409
2016-07-31 00:00:00+00:00,52.74389285714286,2016,7,3,30,-0.46472317204376806,-0.8854560256532101,0,0,21.92142857142857,15.7,30.2,0.0,0.0,53.62673809523809,53.4520119047619,53.90750595238095,53.917023809523805,52.31118452380953,53.74647470238095,53.709690476190474,0.25236902367591746,0.2269222042042402
2016-08-07 00:00:00+00:00,51.83383333333334,2016,8,3,31,-0.5680647467311556,-0.8229838658936565,0,0,18.40297619047619,12.7,26.3,0.0,0.0,52.74389285714286,53.62673809523809,53.99964285714286,53.39696428571429,52.515363095238094,53.45557142857143,53.56304910714286,0.5265645912913022,0.39246550498903104
2016-08-14 00:00:00+00:00,51.67182738095238,2016,8,3,32,-0.663122658240795,-0.7485107481711013,0,0,17.823214285714286,10.1,27.0,0.1767857142857138,0.0,51.83383333333334,52.74389285714286,53.4520119047619,53.58318452380953,52.66826785714286,52.914119047619046,53.36765773809525,0.8150968885573786,0.7304973781062156
2016-08-21 00:00:00+00:00,51.74010119047619,2016,8,3,33,-0.7485107481711011,-0.6631226582407952,0,0,18.02202380952381,9.0,26.4,0.0,0.0,51.67182738095238,51.83383333333334,53.62673809523809,53.794452380952386,51.806595238095234,52.46907291666667,53.12873809523809,0.9045891217948882,0.934123957424703
2016-08-28 00:00:00+00:00,53.69797023809524,2016,8,3,34,-0.8229838658936564,-0.5680647467311559,0,0,22.7125,14.3,34.7,0.0,0.0,51.74010119047619,51.67182738095238,52.74389285714286,53.90750595238095,53.67769047619048,51.99741369047619,52.871944196428565,0.5020643541468356,1.0046822572463874
2016-09-04 00:00:00+00:00,53.27640476190476,2016,9,3,35,-0.8854560256532096,-0.4647231720437691,0,0,19.96190476190476,13.0,26.3,0.0,0.0,53.69797023809524,51.74010119047619,51.83383333333334,53.99964285714286,53.87086904761905,52.23593303571428,52.84575223214286,0.9769512714368371,0.9761548314948412
2016-09-11 00:00:00+00:00,53.12014285714285,2016,9,3,36,-0.9350162426854147,-0.3546048870425359,0,0,20.10119047619047,11.3,29.2,0.0,0.0,53.27640476190476,53.69797023809524,51.67182738095238,53.4520119047619,53.435452380952384,52.59657589285714,52.75534747023809,1.0430636799033615,0.8830759265594693
2016-09-18 00:00:00+00:00,52.753458333333334,2016,9,3,37,-0.970941817426052,-0.23931566428755774,0,0,21.46607142857143,13.1,31.0,0.0,0.0,53.12014285714285,53.27640476190476,51.74010119047619,53.62673809523809,54.56171428571429,52.95865476190476,52.713863839285715,0.848234175052088,0.8529552702526783
2016-09-25 00:00:00+00:00,52.472208333333334,2016,9,3,38,-0.992708874098054,-0.12053668025532357,0,0,15.65297619047619,9.9,21.9,2.34702380952381,0.0,52.753458333333334,53.12014285714285,53.69797023809524,52.74389285714286,52.76889285714286,53.211994047619044,52.604703869047626,0.391157785849163,0.7714207648712682
2016-10-02 00:00:00+00:00,54.08543452380952,2016,10,4,39,-1.0,-1.8369701987210297e-16,0,0,16.302380952380954,9.0,24.8,1.697619047619046,0.0,52.472208333333334,52.753458333333334,53.27640476190476,51.83383333333334,53.40454761904762,52.90555357142857,52.570743303571426,0.36262939017275114,0.7703973842708481
2016-10-09 00:00:00+00:00,53.84390476190476,2016,10,4,40,-0.992708874098054,0.1205366802553232,0,0,10.719047619047618,5.7,16.4,7.280952380952382,0.0,54.08543452380952,52.472208333333334,53.12014285714285,51.67182738095238,54.71454761904762,53.10781101190476,52.85219345238095,0.7036704700480994,0.8678482920542449
2016-10-16 00:00:00+00:00,56.492202380952385,2016,10,4,41,-0.9709418174260521,0.23931566428755738,0,0,8.325,4.1,12.6,9.675,0.0,53.84390476190476,54.08543452380952,52.753458333333334,51.74010119047619,56.24397023809523,53.28875148809524,53.123703125,0.7950221174992915,0.7812637972635184
2016-10-23 00:00:00+00:00,56.93340476190476,2016,10,4,42,-0.9350162426854148,0.35460488704253557,0,0,8.020238095238096,1.9,13.9,9.979761904761904,0.0,56.492202380952385,53.84390476190476,52.472208333333334,53.69797023809524,55.76396428571428,54.2234375,53.71771577380952,1.6710463388697738,1.246838089784955
2016-10-30 00:00:00+00:00,56.78274404761905,2016,10,4,43,-0.8854560256532101,0.464723172043768,0,0,8.616071428571429,2.8,12.7,9.383928571428571,0.0,56.93340476190476,56.492202380952385,54.08543452380952,53.27640476190476,55.60158928571428,55.338736607142856,54.122145089285716,1.5998685542660167,1.6866703364581113
2016-11-06 00:00:00+00:00,56.02982142857143,2016,11,4,44,-0.822983865893657,0.5680647467311548,0,0,6.270833333333333,1.0,12.1,11.729166666666668,0.0,56.78274404761905,56.93340476190476,53.84390476190476,53.12014285714285,56.496375,56.01306398809523,54.5604375,1.457653351800137,1.8799964279837607
2016-11-13 00:00:00+00:00,59.931113095238096,2016,11,4,45,-0.7485107481711011,0.6631226582407953,0,0,0.8238095238095239,-3.8,6.2,17.176190476190477,0.0,56.02982142857143,56.78274404761905,56.492202380952385,52.753458333333334,58.491214285714285,56.559543154761904,54.92414732142857,0.3977985364829877,1.8426327353736445
2016-11-20 00:00:00+00:00,60.27217261904762,2016,11,4,46,-0.6631226582407956,0.7485107481711007,0,0,6.042261904761905,-3.8,14.0,11.957738095238096,0.0,59.931113095238096,56.02982142857143,56.93340476190476,52.472208333333334,59.382172619047616,57.419270833333336,55.82135416666667,1.7205767817200655,2.320253753801783
2016-11-27 00:00:00+00:00,59.39114285714285,2016,11,4,47,-0.5680647467311559,0.8229838658936564,0,0,4.702976190476191,-1.1,11.3,13.29702380952381,0.0,60.27217261904762,59.931113095238096,56.78274404761905,54.08543452380952,60.73266666666667,58.25396279761905,56.79634970238095,2.1600380740453553,2.3504746967379315
2016-12-04 00:00:00+00:00,61.19801785714286,2016,12,4,48,-0.4647231720437684,0.88545602565321,0,0,0.6416666666666666,-4.2,7.5,17.358333333333334,0.0,59.39114285714285,60.27217261904762,56.02982142857143,53.84390476190476,60.106678571428574,58.906062500000004,57.45956324404762,1.951499528911269,2.221267073921885
2016-12-11 00:00:00+00:00,61.379577380952384,2016,12,4,49,-0.35460488704253595,0.9350162426854147,0,0,3.860119047619047,-4.0,9.6,14.139880952380953,0.0,61.19801785714286,59.39114285714285,59.931113095238096,56.492202380952385,59.90733333333334,60.198111607142856,58.37882738095239,0.7588992711183776,2.0241709450436876
2016-12-18 00:00:00+00:00,60.407535714285714,2016,12,4,50,-0.2393156642875578,0.970941817426052,0,0,1.3392857142857142,-3.7,6.1,16.660714285714285,0.0,61.379577380952384,61.19801785714286,60.27217261904762,56.93340476190476,57.62785714285714,60.56022767857143,58.98974925595238,0.9179406813966318,2.1091710787605633
2016-12-25 00:00:00+00:00,56.62632142857143,2016,12,4,51,-0.12053668025532363,0.992708874098054,2,1,2.3232142857142857,-2.3,8.8,15.676785714285714,0.0,60.407535714285714,61.379577380952384,59.39114285714285,56.78274404761905,48.25336309523809,60.59406845238095,59.424015624999996,0.9062015247616123,1.9789277762503747
2017-01-01 00:00:00+00:00,48.6865119047619,2017,1,1,52,6.432490598706546e-16,1.0,1,1,3.370833333333333,-2.9,9.8,14.629166666666666,0.0,56.62632142857143,60.407535714285714,61.19801785714286,56.02982142857143,47.36403571428572,59.9028630952381,59.40446279761905,2.2247494753896015,2.009292866802636
2017-01-08 00:00:00+00:00,58.90288095238095,2017,1,1,1,0.12053668025532305,0.992708874098054,0,0,-2.0857142857142854,-9.0,4.2,20.085714285714285,0.0,48.6865119047619,56.62632142857143,61.379577380952384,59.931113095238096,56.615142857142864,56.77498660714286,58.48654910714286,5.768974303878563,4.225881943432278
2017-01-15 00:00:00+00:00,62.23366071428571,2017,1,1,2,0.23931566428755774,0.970941817426052,0,0,-0.7523809523809524,-6.6,3.5,18.752380952380953,0.0,58.90288095238095,48.6865119047619,60.407535714285714,60.27217261904762,59.91391071428571,56.155812499999996,58.35802008928571,5.216491969604762,4.191163439240708
2017-01-22 00:00:00+00:00,62.734077380952385,2017,1,1,3,0.3546048870425356,0.9350162426854148,0,0,-2.7910714285714286,-10.7,2.1,20.791071428571428,0.0,62.23366071428571,58.90288095238095,56.62632142857143,59.39114285714285,61.26752976190476,56.612343749999994,58.60320610119048,5.763817337579522,4.37258729757635
2017-01-29 00:00:00+00:00,63.07044642857142,2017,1,1,4,0.4647231720437685,0.8854560256532099,0,0,-1.5226190476190475,-7.0,6.4,19.52261904761905,0.0,62.734077380952385,62.23366071428571,48.6865119047619,61.19801785714286,59.185089285714284,58.13928273809523,59.02107291666667,6.5272257374355105,4.611832445216382
2017-02-05 00:00:00+00:00,61.047892857142855,2017,2,1,5,0.5680647467311558,0.8229838658936564,0,0,0.2029761904761904,-5.1,7.7,17.79702380952381,0.0,63.07044642857142,62.734077380952385,58.90288095238095,61.379577380952384,59.32980952380952,61.73526636904762,59.255126488095236,1.9192996379553708,4.782454203946468
2017-02-12 00:00:00+00:00,61.79589285714285,2017,2,1,6,0.6631226582407952,0.7485107481711011,0,0,-2.702380952380953,-6.1,1.0,20.702380952380953,0.0,61.047892857142855,63.07044642857142,62.23366071428571,60.407535714285714,58.9735119047619,62.2715193452381,59.21366592261904,0.8852380996464217,4.762802976036974
2017-02-19 00:00:00+00:00,60.665934523809526,2017,2,1,7,0.7485107481711011,0.6631226582407953,0,0,1.2130952380952382,-6.4,10.9,16.78690476190476,0.0,61.79589285714285,61.047892857142855,62.734077380952385,56.62632142857143,59.96314285714285,62.16207738095238,59.38721056547619,0.9179354707258623,4.837231708872297
2017-02-26 00:00:00+00:00,60.167023809523805,2017,2,1,8,0.8229838658936564,0.5680647467311558,0,0,5.805357142857143,-0.9,10.4,12.194642857142856,0.0,60.665934523809526,61.79589285714285,63.07044642857142,48.6865119047619,58.631726190476186,61.645041666666664,59.89216220238095,1.0598384019653981,4.717209997561691
2017-03-05 00:00:00+00:00,58.60378571428571,2017,3,1,9,0.8854560256532098,0.4647231720437686,0,0,6.585714285714286,1.0,15.0,11.414285714285716,0.0,60.167023809523805,60.665934523809526,61.047892857142855,58.90288095238095,58.698702380952376,60.919186011904756,61.32722619047619,0.6867956123463179,1.403982714525276
2017-03-12 00:00:00+00:00,58.66591666666667,2017,3,1,10,0.9350162426854148,0.35460488704253557,0,0,4.611309523809524,-1.0,9.9,13.388690476190476,0.0,58.60378571428571,60.167023809523805,61.79589285714285,62.23366071428571,58.708357142857146,60.308159226190476,61.28983928571429,1.3249104113330445,1.479704033509813
2017-03-19 00:00:00+00:00,57.60036904761904,2017,3,1,11,0.970941817426052,0.23931566428755804,0,0,5.9869047619047615,-1.1,12.1,12.01309523809524,0.0,58.66591666666667,58.60378571428571,60.665934523809526,62.734077380952385,57.62138095238095,59.52566517857143,60.8438712797619,1.0489016991728923,1.67884907475119
2017-03-26 00:00:00+00:00,57.11447023809524,2017,3,1,12,0.992708874098054,0.120536680255323,0,0,7.012499999999999,-0.3,12.8,10.9875,0.0,57.60036904761904,58.66591666666667,60.167023809523805,63.07044642857142,54.017779761904755,58.759273809523805,60.20215773809523,1.05794020208308,1.8276760020396534
2017-04-02 00:00:00+00:00,55.12839880952381,2017,4,2,13,1.0,-1.6081226496766366e-16,0,0,11.52797619047619,0.3,21.0,6.47202380952381,0.0,57.11447023809524,57.60036904761904,58.60378571428571,61.047892857142855,53.22379166666666,57.99613541666666,59.45766071428571,0.7641575564031862,1.701063722543482
2017-04-09 00:00:00+00:00,55.1238869047619,2017,4,2,14,0.992708874098054,-0.12053668025532288,0,0,9.372619047619049,4.3,16.6,8.627380952380953,0.0,55.12839880952381,57.11447023809524,58.66591666666667,61.79589285714285,54.83217857142857,57.127288690476185,58.71772395833333,1.4817676541130318,2.1410592727648536
2017-04-16 00:00:00+00:00,52.68770833333333,2017,4,2,15,0.9709418174260521,-0.2393156642875575,0,0,8.210714285714285,2.7,18.2,9.789285714285716,0.0,55.1238869047619,55.12839880952381,57.60036904761904,60.665934523809526,53.15043452380952,56.241781249999995,57.883723214285716,1.3034128406685377,2.0689896338860527
2017-04-23 00:00:00+00:00,53.893386904761904,2017,4,2,16,0.9350162426854148,-0.35460488704253545,0,0,5.185714285714286,-2.4,13.5,12.814285714285711,0.0,52.68770833333333,55.1238869047619,57.11447023809524,60.167023809523805,53.383125,55.01361607142857,56.88644494047619,1.8118838970696471,2.4280028819949986
2017-04-30 00:00:00+00:00,55.816779761904755,2017,4,2,17,0.8854560256532099,-0.4647231720437685,0,0,6.947619047619048,-0.7,13.4,11.052380952380952,0.0,53.893386904761904,52.68770833333333,55.12839880952381,58.60378571428571,54.88391071428571,54.20834523809524,56.102240327380954,1.168510514224702,2.2214142744896805
2017-05-07 00:00:00+00:00,53.79869642857143,2017,5,2,18,0.8229838658936565,-0.5680647467311557,0,0,10.623809523809523,4.7,16.4,7.376190476190477,0.0,55.816779761904755,53.893386904761904,55.1238869047619,58.66591666666667,50.6261130952381,54.38044047619047,55.75386458333333,1.3806214089731197,1.9782966263111044
2017-05-14 00:00:00+00:00,54.315494047619055,2017,5,2,19,0.7485107481711013,-0.6631226582407951,0,0,10.527380952380952,0.0,21.5,7.472619047619048,0.0,53.79869642857143,55.816779761904755,52.68770833333333,57.60036904761904,53.83086309523809,54.049142857142854,55.14546205357143,1.299362346176347,1.6808590007706046
2017-05-21 00:00:00+00:00,54.192547619047616,2017,5,2,20,0.6631226582407952,-0.7485107481711012,0,0,16.88095238095238,8.7,27.6,1.1190476190476204,0.0,54.315494047619055,53.79869642857143,53.893386904761904,57.11447023809524,51.5158630952381,54.456089285714285,54.73485267857143,0.934531064424355,1.3675048672714893
2017-05-28 00:00:00+00:00,50.713119047619045,2017,5,2,21,0.5680647467311558,-0.8229838658936564,0,0,16.86904761904762,8.4,30.1,1.1309523809523796,0.0,54.192547619047616,54.315494047619055,55.816779761904755,55.12839880952381,51.86942857142857,54.53087946428572,54.369612351190476,0.8851536379671366,0.975030989112423
2017-06-04 00:00:00+00:00,53.60283333333333,2017,6,2,22,0.46472317204376906,-0.8854560256532096,0,0,18.54583333333333,8.6,28.4,0.0,0.0,50.713119047619045,54.192547619047616,53.79869642857143,55.1238869047619,53.917023809523805,53.254964285714294,53.817702380952376,1.708840517274122,1.5589441241628843
2017-06-11 00:00:00+00:00,51.67090476190476,2017,6,2,23,0.35460488704253584,-0.9350162426854147,0,0,17.872619047619047,11.1,27.8,0.1273809523809532,0.0,53.60283333333333,50.713119047619045,54.315494047619055,52.68770833333333,53.39696428571429,53.20599851190476,53.62757068452381,1.6907774724003293,1.4669208605260136
2017-06-18 00:00:00+00:00,52.428803571428574,2017,6,2,24,0.23931566428755768,-0.970941817426052,0,0,17.82857142857143,10.9,26.1,0.1714285714285708,0.0,51.67090476190476,53.60283333333333,54.192547619047616,53.893386904761904,53.58318452380953,52.54485119047618,53.50047023809524,1.6282152538407857,1.5981668866467569
2017-06-25 00:00:00+00:00,55.39275,2017,6,2,25,0.12053668025532308,-0.992708874098054,0,0,20.013690476190476,12.2,29.5,0.0,0.0,52.428803571428574,51.67090476190476,50.713119047619045,55.816779761904755,53.794452380952386,52.10391517857143,53.317397321428565,1.2212179714395677,1.6302901660214888
2017-07-02 00:00:00+00:00,54.41000595238095,2017,7,3,26,-3.216245299353273e-16,-1.0,0,0,16.98333333333333,9.7,25.4,1.0166666666666693,0.0,55.39275,52.428803571428574,53.60283333333333,53.79869642857143,53.90750595238095,53.27382291666666,53.26439360119048,1.6208541105900487,1.5419201007558685
2017-07-09 00:00:00+00:00,54.70618452380952,2017,7,3,27,-0.12053668025532283,-0.992708874098054,0,0,17.705357142857142,10.7,25.5,0.2946428571428576,0.0,54.41000595238095,55.39275,51.67090476190476,54.315494047619055,53.99964285714286,53.475616071428576,53.340807291666664,1.722525884719373,1.5866793226700244
