date,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days
2017-02-26,5.805357142857143,-0.9,10.4,12.194642857142856,0.0
2017-03-05,6.585714285714286,1.0,15.0,11.414285714285715,0.0
2017-03-12,4.611309523809524,-1.0,9.9,13.388690476190476,0.0
2017-03-19,5.9869047619047615,-1.1,12.1,12.01309523809524,0.0
2017-03-26,7.012499999999999,-0.3,12.8,10.9875,0.0
2017-04-02,11.52797619047619,0.3,21.0,6.47202380952381,0.0
2017-04-09,9.372619047619047,4.3,16.6,8.627380952380953,0.0
2017-04-16,8.210714285714285,2.7,18.2,9.789285714285715,0.0
2017-04-23,5.185714285714286,-2.4,13.5,12.814285714285713,0.0
2017-04-30,6.947619047619048,-0.7,13.4,11.052380952380952,0.0
2017-05-07,10.623809523809523,4.7,16.4,7.376190476190477,0.0
2017-05-14,10.527380952380952,0.0,21.5,7.472619047619048,0.0
2017-05-21,16.88095238095238,8.7,27.6,1.1190476190476204,0.0
2017-05-28,16.86904761904762,8.4,30.1,1.1309523809523796,0.0
2017-06-04,18.54583333333333,8.6,28.4,0.0,0.0
2017-06-11,17.872619047619047,11.1,27.8,0.12738095238095326,0.0
2017-06-18,17.82857142857143,10.9,26.1,0.17142857142857082,0.0
2017-06-25,20.013690476190476,12.2,29.5,0.0,0.0
2017-07-02,16.98333333333333,9.7,25.4,1.0166666666666693,0.0
2017-07-09,17.705357142857142,10.7,25.5,0.29464285714285765,0.0
2017-07-16,17.03035714285714,10.9,22.7,0.9696428571428584,0.0
2017-07-23,19.96607142857143,11.3,27.3,0.0,0.0
2017-07-30,18.560714285714283,13.4,29.8,0.0,0.0
2017-08-06,20.66488095238095,12.4,28.9,0.0,0.0
2017-08-13,18.526785714285715,10.4,26.4,0.0,0.0
2017-08-20,19.000595238095237,11.8,26.3,0.0,0.0
2017-08-27,16.757142857142856,9.5,23.3,1.2428571428571438,0.0
2017-09-03,17.708333333333332,10.2,29.3,0.29166666666666785,0.0
